2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '175', `start` = '17500000', `end` = '0', `remaining_qty` = '0', `default_start` = '17500000', `default_end` = '17599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '176', `start` = '17600000', `end` = '0', `remaining_qty` = '0', `default_start` = '17600000', `default_end` = '17699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '177', `start` = '17700000', `end` = '0', `remaining_qty` = '0', `default_start` = '17700000', `default_end` = '17799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '178', `start` = '17800000', `end` = '0', `remaining_qty` = '0', `default_start` = '17800000', `default_end` = '17899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '179', `start` = '17900000', `end` = '0', `remaining_qty` = '0', `default_start` = '17900000', `default_end` = '17999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '185', `start` = '18500000', `end` = '0', `remaining_qty` = '0', `default_start` = '18500000', `default_end` = '18599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '186', `start` = '18600000', `end` = '0', `remaining_qty` = '0', `default_start` = '18600000', `default_end` = '18699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '187', `start` = '18700000', `end` = '0', `remaining_qty` = '0', `default_start` = '18700000', `default_end` = '18799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '188', `start` = '18800000', `end` = '0', `remaining_qty` = '0', `default_start` = '18800000', `default_end` = '18899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '189', `start` = '18900000', `end` = '0', `remaining_qty` = '0', `default_start` = '18900000', `default_end` = '18999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '195', `start` = '19500000', `end` = '0', `remaining_qty` = '0', `default_start` = '19500000', `default_end` = '19599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '196', `start` = '19600000', `end` = '0', `remaining_qty` = '0', `default_start` = '19600000', `default_end` = '19699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '197', `start` = '19700000', `end` = '0', `remaining_qty` = '0', `default_start` = '19700000', `default_end` = '19799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '198', `start` = '19800000', `end` = '0', `remaining_qty` = '0', `default_start` = '19800000', `default_end` = '19899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '199', `start` = '19900000', `end` = '0', `remaining_qty` = '0', `default_start` = '19900000', `default_end` = '19999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
